member,download,type,text,規格書
POR043C1,已下載,CLP,採購單列印,
POR044C,已下載,CLP,報價逾期表,
POR044C1,已下載,CLP,報價逾期表,
POR045C,已下載,CLP,供應商採購彙總表,
POR045C1,已下載,CLP,供應商採購彙總表,
POR047C,已下載,CLP,國外採購到貨成本單,
POR047C1,已下載,CLP,國外採購到貨成本單,
POR048C,已下載,CLP,採購完稅明細表,
POR048C1,已下載,CLP,採購完稅明細表,
POR049C,已下載,CLP,國外採購 ETD 狀況表,
POR049C1,已下載,CLP,國外採購 ETD 狀況表,
POR050C,已下載,CLP,驗收單明細表,
POR050C1,已下載,CLP,驗收單明細表,
POR051C,已下載,CLP,產品低於安全量報表,
POR051C1,已下載,CLP,產品低於安全量報表,
POR052C,已下載,CLP,供應商採購明細表,
POR052C1,已下載,CLP,供應商採購明細表,
POR053C,已下載,CLP,供應商採購驗收明細表,
POR053C1,已下載,CLP,供應商採購驗收明細表,
POR054C,已下載,CLP,供應商採購完稅彙總表,
POR054C1,已下載,CLP,供應商採購完稅彙總表,
POR055C,已下載,CLP,供應商到貨完稅狀況表,
POR055C1,已下載,CLP,供應商到貨完稅狀況表,
POR056C,已下載,CLP,國內驗收金額月彙總表,
POR056C1,已下載,CLP,國內驗收金額月彙總表,
POR057C,已下載,CLP,建議產品採購表,
POR057C1,已下載,CLP,建議產品採購表,
POR058C,已下載,CLP,國內供應商進貨明細表,
POR058C1,已下載,CLP,國內供應商進貨明細表,
POR059C,已下載,CLP,國外到貨統計年報,
POR059C1,已下載,CLP,國外到貨統計年報,
POR060C,已下載,CLP,完稅產品空瓶重量表,
POR060C1,已下載,CLP,完稅產品空瓶重量表,
POR061C,已下載,CLP,國內進貨報價明細表,
POR061C1,已下載,CLP,國內進貨報價明細表,
POR062C,已下載,CLP,國外採購成本差異表,
POR062C1,已下載,CLP,國外採購成本差異表,
POR063C,已下載,CLP,匯東進貨成本一覽表,
POR063C1,已下載,CLP,匯東進貨成本一覽表,
POR064C,已下載,CLP,匯東進貨成本差異表,
POR065C,已下載,CLP,建議產品採購表含可用量,
